Start;Ende;Parkplatz Name;"Content-Type: text/plain; charset=utf-8
";updated;verified_payment;Buchungsstatus;Parkplatz Name
2020-01-10T07:25:00+01:00;2020-01-11T07:25:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-10T07:22:29+01:00;2020-01-10T07:22:59+01:00;2020-01-10T07:22:38+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-09T19:50:00+01:00;2020-01-09T23:50:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-09T19:49:54+01:00;2020-01-09T19:50:19+01:00;2020-01-09T19:50:08+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-09T11:00:00+01:00;2020-01-09T20:00:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-09T10:55:58+01:00;2020-01-09T10:56:44+01:00;2020-01-09T10:56:20+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-09T09:40:00+01:00;2020-01-10T09:40:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-09T09:39:42+01:00;2020-01-09T09:39:58+01:00;2020-01-09T09:39:50+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-09T08:30:00+01:00;2020-01-10T08:30:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-09T08:27:17+01:00;2020-01-09T08:27:46+01:00;2020-01-09T08:27:26+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-09T08:10:00+01:00;2020-01-10T08:10:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-09T08:06:16+01:00;2020-01-09T08:07:00+01:00;2020-01-09T08:06:25+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-09T07:55:00+01:00;2020-01-10T07:55:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-09T07:53:19+01:00;2020-01-09T07:53:56+01:00;2020-01-09T07:53:33+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-09T09:10:00+01:00;2020-01-11T00:10:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-08T23:19:00+01:00;2020-01-08T23:19:38+01:00;2020-01-08T23:19:27+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-08T09:35:00+01:00;2020-01-09T09:35:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-08T09:31:42+01:00;2020-01-08T09:32:09+01:00;2020-01-08T09:31:49+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
2020-01-08T09:25:00+01:00;2020-01-09T09:25:00+01:00;8bf5f03e-3513-43db-a448-f41cb43a35f4;2020-01-08T09:21:57+01:00;2020-01-08T09:22:31+01:00;2020-01-08T09:22:02+01:00;INVOICE_SENT;8bf5f03e-3513-43db-a448-f41cb43a35f4
